from_node_id,to_node_id,link_id,length,directed,name,zone_id,capacity_scaling_factor,area_type,lanes,raw_capacity,speed,ftype,capacity,GEOMETRYSO,GEOMETRY_1,GEOMETRY_2,GEOMETRY_3,TL23_2032,TRN_2023
2264,2452,2264_2452,0.3102,0,Miller Rd,884,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2264,2453,2264_2453,0.1976,0,W 4000 S,881,1,Urban,0,,18,Local,,1,1,1,1,0,0
2264,2456,2264_2456,0.262,0,W 4000 S,880,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2265,2268,2265_2268,0.7328,0,W 4000 S,879,1,Urban,0,,,,,1,1,1,1,0,0
2265,2455,2265_2455,0.3027,0,1900 W,883,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2265,2456,2265_2456,0.2585,0,W 4000 S,880,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2265,2758,2265_2758,0.5644,0,1900 W,883,1,Urban,0,,18,Local,,1,1,1,1,0,0
2266,1774,2266_1774,0.48415,0,SR-91,878,1,Rural,2,892,62,Principal Arterial,,1,1,1,1,1,1
2266,1920,2266_1920,0.64144,0,SR-91,599,1,Urban,2,892,28,Principal Arterial,,1,1,1,1,1,1
2266,2267,2266_2267,0.1311,0,W 4000 S,599,1,Urban,0,,,,,1,1,1,1,0,0
2267,2266,2267_2266,0.1311,0,W 4000 S,599,1,Urban,0,,,,,1,1,1,1,0,0
2267,2268,2267_2268,0.0727,0,W 4000 S,599,1,Urban,0,,,,,1,1,1,1,0,0
2268,904,2268_904,0.47496,0,,883,1,Urban,0,,16,Centroid Connector,,1,1,1,1,0,0
2268,2265,2268_2265,0.7328,0,W 4000 S,879,1,Urban,0,,,,,1,1,1,1,0,0
2268,2267,2268_2267,0.0727,0,W 4000 S,599,1,Urban,0,,,,,1,1,1,1,0,0
2269,1085,2269_1085,0.13987,0,W 300 S,578,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2269,1794,2269_1794,0.14366,0,E 300 S,579,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2269,2168,2269_2168,0.43199,0,200 West,569,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2269,2549,2269_2549,0.06954,0,200 West,569,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2270,607,2270_607,0.46707,0,,586,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2270,1799,2270_1799,0.14433,0,S 200 E,586,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2270,2031,2270_2031,0.13791,0,S 200 E,585,1,Urban,1,515,21,Minor Collector,,1,1,1,1,0,0
2270,2501,2270_2501,0.34588,0,200 West,569,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2271,642,2271_642,0.53192,0,,621,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2271,928,2271_928,0.39162,0,,907,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2271,1798,2271_1798,0.69593,0,2400 West,906,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2271,1954,2271_1954,0.35645,0,2400 West,907,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2272,580,2272_580,0.34059,0,,562,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2272,908,2272_908,0.39525,0,,887,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2272,909,2272_909,0.33893,0,,888,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2272,1069,2272_1069,0.31918,0,1900 W,562,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2272,1921,2272_1921,0.44376,0,1900 W,887,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2273,582,2273_582,0.35419,0,,564,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2273,910,2273_910,0.31449,0,,889,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2273,911,2273_911,0.3574,0,,890,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2273,1089,2273_1089,0.32525,0,1200 WEST MILLER R,564,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2273,1400,2273_1400,0.45011,0,1200 WEST MILLER R,889,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2274,175,2274_175,0.21027,0,,175,1,Urban,7,10000,16,Centroid Connector,,1,1,1,1,0,0
2274,1259,2274_1259,0.2525,0,S 250 E,177,1,Urban,1,515,21,Minor Collector,,1,1,1,1,1,0
2274,1987,2274_1987,0.1035,0,S 250 E,177,1,Urban,1,515,21,Minor Collector,,1,1,1,1,1,0
2275,57,2275_57,0.13006,0,,57,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2275,675,2275_675,0.14445,0,,654,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2275,2104,2275_2104,0.23226,0,10100 N,654,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2275,2105,2275_2105,0.32577,0,10100 N,654,1,Rural,1,412,35,Local,,1,1,1,1,0,0
